Close,High,Low,Open,Volume,SMA,EMA,upper_band,middle_band,lower_band,slowk,slowd,RSI,MACD,MACD_signal,MACD_hist,ADX,CCI,Williams %R,ATR,OBV,MFI,SAR,TRIX,ULTOSC,PPO,KAMA,DPO,MOM,BOP,HT_TRENDLINE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_INPHASE,HT_PHASOR_QUADRATURE,HT_SINE_SINE,HT_SINE_LEADSINE,HT_TRENDMODE,Close_,Open_,High_,Low_,Volume_,SMA_50,signal,trend
2.4938106536865234,2.5862661295326324,2.384951630380579,2.485360965611227,893181924,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,893181924.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,0.0419725757999893,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.6918938159942627,2.510463115613272,2.711031763810558,2.4977875165028354,456686856.0,3.157571244239807,0,0.0
2.6918938159942627,2.711031763810558,2.4977875165028354,2.510463115613272,456686856,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1349868780.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,0.8508116991272296,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.718984842300415,2.7525375775306387,2.8203875014498747,2.7102860551771575,365122512.0,3.157571244239807,0,0.0
2.718984842300415,2.8203875014498747,2.7102860551771575,2.7525375775306387,365122512,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1714991292.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,-0.3047438191421639,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.6063973903656006,2.7647154583711613,2.773662870234697,2.574088252266053,304946748.0,3.157571244239807,0,0.0
2.6063973903656006,2.773662870234697,2.574088252266053,2.7647154583711613,304946748,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1410044544.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,-0.7932775701488991,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.6344826221466064,2.6086348867034213,2.684189805691193,2.581793125982065,183772044.0,3.157571244239807,0,0.0
2.6344826221466064,2.684189805691193,2.581793125982065,2.6086348867034213,183772044,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1593816588.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,0.252427476326472,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.681952476501465,2.60838583681236,2.68294673867378,2.601178560794036,141897960.0,3.157571244239807,0,0.0
2.681952476501465,2.68294673867378,2.601178560794036,2.60838583681236,141897960,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1735714548.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,0.8996976769776962,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.638209819793701,2.6866745893623296,2.699598575271051,2.626777818920264,124235640.0,3.157571244239807,0,0.0
2.638209819793701,2.699598575271051,2.626777818920264,2.6866745893623296,124235640,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1611478908.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,-0.6655351028650043,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.5353167057037354,2.616588100800552,2.6218070888182226,2.5353167057037354,103935960.0,3.157571244239807,0,0.0
2.5353167057037354,2.6218070888182226,2.5353167057037354,2.616588100800552,103935960,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1507542948.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,-0.9396581697324413,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.5442638397216797,2.5425239402916113,2.577567238611209,2.5390448517878013,98357544.0,3.157571244239807,0,0.0
2.5442638397216797,2.577567238611209,2.5390448517878013,2.5425239402916113,98357544,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1605900492.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,0.04516593008746589,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.491574287414551,2.552465320040897,2.559176056111326,2.4771587900091063,182765052.0,3.157571244239807,0,0.0
2.491574287414551,2.559176056111326,2.4771587900091063,2.552465320040897,182765052,2.57946709224156,2.57946709224156,2.7347951014198797,2.57946709224156,2.42413908306324,69.21900783625502,49.5231908580083,53.275692878590085,0.21716812491809057,0.1746575196933137,0.04251060522477687,38.96329614739267,-45.75184916462975,-63.812703674952765,0.09568630835756532,1423135440.0,47.99777980383512,2.384951630380579,0.5608421954900189,56.00554472375106,5.0022531358275355,3.2293978351791743,-0.008201122283935547,0.029079198837280273,-0.742417243589375,4.293123203305231,15.646696015449795,243.10120514595357,0.0919554834365721,0.20663197660087718,-0.8918070458132279,-0.9505091967225533,0,2.5228898525238037,2.4652295100176,2.544264240986401,2.4590162590315634,302373324.0,3.157571244239807,0,0.0
